STT,Hoạt chất 1,Hoạt chất 2,Cơ chế,Hậu quả,Xử trí
1,Aceclofenac,Ketorolac,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
2,Acenocoumarol,Tamoxifen,Tamoxifen ức chế CYP2C9 làm giảm chuyển hóa của acenocoumarol,Tăng nguy cơ xuất huyết,"1. Chống chỉ định phối hợp ở bệnh nhân sử dụng tamoxifen dự phòng tiên phát ung thư vú. 2. Ở bệnh nhân ung thư vú, nên cân nhắc sử dụng heparin trọng lượng phân tử thấp (LMWH) hoặc các thuốc chống đông đường uống tác động trực tiếp (DOAC) thay thế cho warfarin để điều trị thuyên tắc tĩnh mạch do huyết khối. Trong trường hợp bắt buộc sử dụng đồng thời tamoxifen với warfarin, cần giảm 1/2 đến 2/3 liều warfarin và theo dõi chặt chẽ bệnh nhân."
3,Acid mefenamic,Ketorolac,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
4,Acid tranexamic,Ethinyl estradiol,Nguy cơ huyết khối khi sử dụng ethinyl estradiol tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa ethinyl estradiol. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
5,Acid tranexamic,Estradiol valerat,Nguy cơ huyết khối khi sử dụng estradiol valerat tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa estradiol valerat. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
6,Acid tranexamic,Estriol,Nguy cơ huyết khối khi sử dụng estriol tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa estriol. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
7,Acid tranexamic,Clormadinon,Nguy cơ huyết khối khi sử dụng clormadinon tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa clormadinon. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
8,Acid tranexamic,Desogestrel,Nguy cơ huyết khối khi sử dụng desogestrel tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa desogestrel. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
9,Acid tranexamic,Dienogest,Nguy cơ huyết khối khi sử dụng dienogest tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa dienogest. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
10,Acid tranexamic,Drospirenon,Nguy cơ huyết khối khi sử dụng drospirenon tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa drospirenon. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
11,Acid tranexamic,Etonogestrel,Nguy cơ huyết khối khi sử dụng etonogestrel tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa etonogestrel. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
12,Acid tranexamic,Gestoden,Nguy cơ huyết khối khi sử dụng gestoden tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa gestoden. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
13,Acid tranexamic,Levonorgestrel,Nguy cơ huyết khối khi sử dụng levonorgestrel tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa levonorgestrel. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
14,Acid tranexamic,Lynestrenol,Nguy cơ huyết khối khi sử dụng lynestrenol tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa lynestrenol. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
15,Acid tranexamic,Medroxypro gesteron,Nguy cơ huyết khối khi sử dụng medroxyprogeste ron tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa medroxyprogesteron. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
16,Acid tranexamic,Norelgestro min,Nguy cơ huyết khối khi sử dụng norelgestromin tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa norelgestromin. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
17,Acid tranexamic,Norethindron,Nguy cơ huyết khối khi sử dụng norethindron tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa norethindron. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
18,Acid tranexamic,Norgestrel,Nguy cơ huyết khối khi sử dụng norgestrel tăng lên khi phối hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1. Chống chỉ định sử dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang dùng thuốc tránh thai chứa noregestrel. 2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi."
19,Acitretin,Doxycyclin,Hiệp đồng tăng độc tính,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Chống chỉ định phối hợp
20,Acitretin,Minocyclin,Hiệp đồng tăng độc tính,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Chống chỉ định phối hợp
21,Acitretin,Tetracyclin,Hiệp đồng tăng độc tính,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Chống chỉ định phối hợp
22,Acitretin,Tigecyclin,Hiệp đồng tăng độc tính,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Chống chỉ định phối hợp
23,Adipiodon,Metformin,Nguy cơ suy thận cấp liên quan đến cả metformin và thuốc cản quang iod. Suy thận cấp làm tăng nguy cơ nhiễm toan lactic.,Tăng nguy cơ nhiễm toan lactic và suy thận cấp,"1. Bệnh nhân có MLCT > 30 ml/phút/1,73m2 và không có bằng chứng tổn thương thận cấp, được chỉ định tiêm thuốc cản quang đường tĩnh mạch hoặc tiêm thuốc cản quang đường động mạch tiếp xúc với thận thứ cấp (ví dụ: bơm thuốc vào tim phải, động mạch phổi, động mạch cảnh, động mạch dưới đòn, động mạch vành, động mạch mạc treo hay động mạch dưới động mạch thận): tiếp tục sử dụng metformin như bình thường. 2. Bệnh nhân (1) MLCT < 30 ml/phút/1,73m2 tiêm thuốc cản quang đường tĩnh mạch, đường động mạch tiếp xúc với thận thứ cấp, hoặc (2) Bệnh nhân tiêm thuốc cản quang đường động mạch tiếp xúc với thận đầu tiên (ví dụ: bơm thuốc vào tim trái, động mạch chủ ngực, động mạch chủ bụng trên động mạch thận hoặc động mạch thận) hoặc (3) Có tổn thương thận: Ngừng metformin trước hoặc tại thời điểm tiến hành thủ thuật chẩn đoán hình ảnh và không được dùng lại cho đến ít nhất 48 giờ sau đó. Sau 48 giờ, chỉ sử dụng lại metformin sau khi chức năng thận được đánh giá lại và cho thấy ổn định. * Lưu ý: - Các yếu tố nguy cơ: suy thận, suy tim, không đủ dịch hoặc thiếu dịch, sử dụng liều cao thuốc cản quang hoặc sử dụng đồng thời các thuốc độc tính trên thận khác. - Khuyến cáo về tương tác này không áp dụng trong trường hợp bơm thuốc cản quang iod để chụp X-quang tử cung - vòi trứng."
24,Agomelatin,Ciprofloxacin,Ciprofloxacin ức chế CYP1A2 mạnh làm giảm chuyển hóa của agomelatin,"Tăng nồng độ của agomelatin trong huyết thanh, tăng nguy cơ tác dụng không mong muốn(đau đầu, buồn ngủ, mệt mỏi, kích động, lo lắng, căng thẳng, chóng mặt, tím tái...)",Chống chỉ định phối hợp
25,Agomelatin,Fluvoxamin,Fluvoxamin ức chế CYP1A2 mạnh làm giảm chuyển hóa của agomelatin,"Tăng nồng độ của agomelatin trong huyết thanh, tăng nguy cơ tác dụng không mong muốn(đau đầu, buồn ngủ, mệt mỏi, kích động, lo lắng, căng thẳng, chóng mặt, tím tái...)",Chống chỉ định phối hợp
26,Alfuzosin,Boceprevir,Boceprevir ức chế CYP3A4 làm giảm chuyển hóa của alfuzosin,"Tăng nồng độ alfuzosin trong huyết thanh, tâng nguy cơ hạ huyết áp nghiêm trọng",Chống chỉ định phối hợp
